run,arm,backend,roles,backend_effective,branch,base_commit,host,started,wall_clock_min,cost_usd,tokens,n_checkpoints,tree_search_completed,evaluation_output,statistical_summary,reported_node,reported_node_hash,datasets_evaluated,conditions_completed,conditions_requested,combinations_with_output,combinations_valid,combinations_requested,best_reviewer_score,satisfactory_node,extraction_logic_audited,extraction_verdict,metrics_independently_recomputed,evidence_level,primary_failure,scientific_status,audit_note
L00,L,gpt-5.4,single-model,gpt-5.4,develop,5a1343d,florian_dueck04,2026-06-28T08:09:04,21,4.78,1532434,7,True,True,False,4,0e06d749,1,3,45,3,0,9,0.25,False,False,not audited,False,1,result-collection crash (RuntimeError),not usable,
L01,L,gpt-5.4,single-model,gpt-5.4,develop,5a1343d,florian_dueck04,2026-07-08T13:21:35,201,5.55,1725863,7,True,True,False,3,5b65bfb2,2,28,45,6,0,9,0.6087,False,False,not audited,False,1,per-node execution timeout,not usable,
L02,L,gpt-5.4,single-model,gpt-5.4,develop,5a1343d,florian_dueck04,2026-07-08T16:42:59,202,4.59,1381169,7,True,True,False,6,eb31459a,3,36,45,9,0,9,0.5333,False,False,not audited,False,1,per-node execution timeout,not usable,
L03,L,gpt-5.4,single-model,gpt-5.4,develop,5a1343d,florian_dueck04,2026-07-08T20:11:18,110,4.69,1385271,7,True,True,False,5,78b415f2,2,29,45,6,0,9,0.4667,False,False,not audited,False,1,per-node execution timeout,not usable,
L04,L,gpt-5.4,single-model,gpt-5.4,develop,5a1343d,florian_dueck04,2026-07-08T22:00:51,369,4.44,1286468,7,True,True,True,4,e6359480,2,20,45,4,0,9,0.8182,False,True,incorrect,False,3,cumulative-results mislabelling,not usable,code.py stamps get_results() rows with the current dataset/seed; Last.FM never evaluated yet reported
M01,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-28T17:05:44,189,0.66,693592,7,True,True,False,4,2a59c3f5,2,20,45,6,0,9,0.3846,False,False,not audited,False,1,per-node execution timeout,not usable,
M02,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T01:50:56,266,0.56,591203,7,True,True,True,5,38a5dd59,2,20,45,4,0,9,0.2727,False,True,incorrect,False,3,cumulative-results mislabelling (degenerate std),not usable,"split seed folded into the algorithm identifier, so every group has n=1 and std==0; all three dataset labels carry identical values"
M03,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T06:17:15,25,0.57,627708,7,True,True,False,0,43b67ee8,2,4,45,4,0,9,0.2727,False,False,not audited,False,1,no final tables,not usable,
M04,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T06:42:04,89,0.62,664943,7,True,True,True,3,df1d0dae,2,20,45,4,0,9,0.4615,False,True,incorrect,False,3,cumulative-results mislabelling,not usable,"fresh Evaluator per seed, but get_results() still restores rows from disk; Amazon and Last.FM report identical range 0.2794, Last.FM never evaluated"
M05,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T08:11:31,8,0.55,567928,7,True,False,False,0,372af0a5,0,0,45,0,0,9,0.1818,False,False,not audited,False,1,no evaluation output,not usable,
M06,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T08:19:26,258,0.69,722936,7,True,True,True,5,2067a2fc,2,20,45,4,0,9,0.5333,False,True,incorrect,False,3,cumulative-results mislabelling,not usable,MovieLens rows reprinted under 'Amazon Video Games' and 'Last.FM' labels; Last.FM never evaluated
M07,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T12:37:11,97,0.75,751622,7,True,True,False,3,f0215e78,2,20,45,4,0,9,0.0833,False,False,not audited,False,1,extraction crash (KeyError),not usable,
M08,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T14:14:36,303,0.6,638740,7,True,True,True,3,2841dab3,2,20,45,4,0,9,0.3333,False,True,incorrect,False,3,cumulative-results mislabelling,not usable,one Evaluator reused across all seeds; std==0.0000 for MovieLens and Last.FM
M09,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,florian_dueck04,2026-06-29T19:18:04,24,0.61,664250,7,True,True,True,6,9195ae0a,1,15,45,3,0,9,0.5,False,True,incorrect,False,3,degenerate statistics (seed folded into algorithm id),not usable,std==0 for every group; only MovieLens evaluated
M10,M,gpt-5.4-mini,single-model,gpt-5.4-mini,develop,5a1343d,prv_tristan,2026-07-12T09:45:50,332,0.7,692888,7,True,True,False,2,4bb9f0c2,2,24,45,6,0,9,0.5,False,False,not audited,False,1,per-node execution timeout,not usable,
T01,T,deepseek-v4-flash,single-model,deepseek-v4-flash,feat/deepseek-compatibility,5a1343d,prv_tristan,2026-07-08T07:34:49,89,0.0,12029995,7,True,True,True,6,6637738e,2,30,45,6,6,9,0.7,False,True,correct,False,3,Last.FM download returned HTTP 404,partially usable,does not use evaluator.get_results(); computes metrics itself via LensKit RunAnalysis per split
T02,T,deepseek-v4-flash,single-model,deepseek-v4-flash,feat/deepseek-compatibility,5a1343d,prv_tristan,2026-07-08T09:04:13,317,0.0,5719652,7,True,True,False,4,e2462b97,2,20,45,6,0,9,0.6667,False,False,not audited,False,1,per-node execution timeout (KeyError: 'rank'),not usable,
T03,T,deepseek-v4-flash,single-model,deepseek-v4-flash,feat/deepseek-compatibility,5a1343d,prv_tristan,2026-07-08T14:21:43,131,0.0,17956313,7,True,False,False,2,01178613,0,0,45,0,0,9,0.5556,False,False,not audited,False,1,missing input file,not usable,
T04,T,deepseek-v4-flash,single-model,deepseek-v4-flash,feat/deepseek-compatibility,5a1343d,prv_tristan,2026-07-08T16:33:07,16,0.0,1724440,2,False,False,False,1,a4e2a674,0,0,45,0,0,9,0.5455,False,False,not audited,False,1,host freeze (memory exhaustion),not usable,
T05,T,deepseek-v4-flash,single-model,deepseek-v4-flash,feat/deepseek-compatibility,5a1343d,prv_tristan,2026-07-08T21:40:01,249,0.0,9059322,7,True,True,False,2,5a3b80fa,2,20,45,6,0,9,1.0,False,False,not audited,False,1,per-node execution timeout,not usable,
T06,T,deepseek-v4-flash,single-model,deepseek-v4-flash,feat/deepseek-compatibility,5a1343d,prv_tristan,2026-07-09T01:48:44,237,0.0,7130116,7,True,True,False,2,635c010e,2,23,45,6,0,9,0.8889,False,True,incorrect,False,1,post-processing indexes cumulative results and misses,not usable,"framework tables hold real values, run summary reports every MovieLens metric as 0.0000"
